Portuguese,French,Italian,Spanish,Catalan,Provencal,Ladin,Sardinian,Romanian,German,Dutch,Afrikaans,English,Icelandic,Norwegian,Swedish,Faroese,Danish,Breton,Welsh,Irish,Bulgarian,Slovenian,Serbo-Croatian,Russian,Belarusian,Ukrainian,Czech,Slovak,Polish,Lithuanian,Latvian,Romani,Singhalese,Kashmiri,Khaskura,Nepali,Bengali,Lahnda,Panjabi,Hindi,Marathi,Gujarati,Pashto,Persian,Tajik,Baluchi,Albanian,Armenian,Greek,,Maranao,Mansaka,Hanunoo,Tagalog,Cebuano,,Javanese,Bali,Sasak,Sunda,Iban,Indonesian
GELO,GLACE,GHIACCIO,HIELO,GEL,GLACO,GLATSCH,GIACCU,GHEATA,EIS,IJS,YS,ICE,IS,IS,IS,ISUR,IS,SKORN,IA,LEAC OIDHRE,LED,LETT,LED,LED,LED,LID,LED,LAD,LOD,LEDAS,LEDUS,BUZO,HIMA,SHUH,HIUN,HIU,BOROP,BERF,BEREPH,BERPH,BERPHE,BEREF,JAX,YAKH,JAX,BAWAR,KALKAN,SAROYC,PAGHOS,,0,0,0,YELO,YELO,,0,0,0,0,0,AIS
SE,SI,SE,SI,SI,SE,SCHA,SI,DACA,WENN,INDIEN,AS,IF,EF,HVIS,OM,UM,HVIS,MA,OS,MA,AKO,CEBIBLO,AKO,ESLI,KALI,JAKSCO,JESTLI,KED,JESLI,JEI,JA,TE,TOT,YED,BHANEDEKHIN,JADI,JODI,JE,EGER,EGER,JER,JO,KA,AGAR,AGAR,AR,PO,YETE,AN,,ONTOL,QAW,NU,KUNG,KUNG,,NEK,YEN,LAMUN,LAMUN,ENTI,KALAU
EM,DANS,DENTRO,EN,SOBRE,DINS,IN,IN,IN,IN,IN,IN,IN,I,I,I,I,I,E,YN,I,V,NOTRI,U,V,U,V,V,V,W,I,LAPA,ANDRE,HI ATULA,MANZ,MA,MA,ONDOR,ENDER,ENDER,ENDER,AT,MA,PE,DAR,BA,NIANWAN,BRENDA,MEJ,SE,,SAN,0,SA BASAD,LOOB,SA SULOD,,ANA NJERO,DI TENGAH,LEQ DALEM,DIJERO,ALAM,DI DALAM
MATAR,TUER,UCCIDERE,MATAR,NAFRAR,TUA,MAZZER,BOCCIRI,A OMORI,TOTEN,DOODEN,DOODMAAK,KILL,DREPA,DREPE,DODA,DREPA,DRAEBE,LAZHAN,LLADD,MARBHUGHADH,UBIVA,UBIJAT,UBITI,UBIVAT,ZABIVAC,UBYVATY,ZABITI,ZABIT,ZABIJAC,UZMUSTI,NOGALINAT,MUNDARAV,MARANAWA,MARUN,0,MARNU,MARA,MAREN,MARNA,MARNA,THAR,MAREWU,VAZEL,KOSHTAN,ZADAN,KHUSHAGH,VRAS,SPANEL,SKOTONO,,BONOQ,PATAY,MATYUN,PATAYIN,MOPATAY,,MATENI,NGAMATIANG,NYEMATEQ,MAEHAN,BUNOH,MEMBUNUH
SABER,SAVOIR,SAPERE,SABER,SENTIRSE,SABE,SAVAIR,SIRI,A STI,WISSEN,WETEN,WEET,KNOW,VITA,VITE,VETA,VITA,VIDE,GOUZOUT,GWYBOD,TA A FHIOS AIGE,ZNAE,ZNAS,ZNATI,ZNAT,VEDAC,ZNATY,VEDETI,VEDIET,ZNAC,ZINOTI,ZINAT,JANAV,KARUNU,ZANUN,JANNU,JANNU,JANA,JANEN,JANNENA,JANNA,JANNE,JANEWU,POHEDEL,DANESTAN,DONISTAN,SAHIH BIAGH,DI,GITENAL,KSERO,,BENTAW,KILARA,MAGKAALAMAN,ALAMIN,MAALAMON,,NERTI,TAWANG,TAUQ,NYAHO,TAU,TAHU
LAGO,LAC,LAGO,LAGO,ESTANY,LAU,LEJ,LAGU,LAC,SEE,MEER,MEER,LAKE,VATN,VANN,SJO,VATN,SO,LENN,LLYN,LOCH,EZERO,JEZERO,JEZERO,OZERO,VOZERA,OZERO,JEZERO,JAZERO,JEZIORO,EZERAS,EZERS,LIMNI,WEWA,SAR,TALAU,JHIL,BIL,JHIL,CIL,JHIL,TELE,SEROWER,KUL,DARYACHE,KUL,DHAND,GOL,LIC,LIMNI,,LANAW,DANAQ,DANAW,LAWA,LINAW,,TLAGA,DANU,SEGARE ANAK,TALAGA,DANAU,DANAU
RIR,RIRE,RIDERE,REIR,RIURER,RIRE,RIR,ARRIRI,A RIDE,LACHEN,LACHEN,LAG,LAUGH,HLAEJA,LE,SKRATTA,LAEA,LE,C HOARZHIN,CHWERTHYN,GAIRIGHE,SE SMEE,SMEJAT,SMIJATI SE,SMEJAT SJA,C MJAJACCA,SMIJATYC,SMATI SE,SMIAT SA,SMIAC SIE,JUOKTIS,SMIETIES,ASAV,HINAWENAWA,ASUN,HANSNU,HASNU,HASA,HESSEN,HESSENA,HESNA,HESNE,HESWU,XANDEL,KHANDIDAN,XANDIDAN,KHANDAGH,KES,CICAL,YELO,,KALAQ,QIKEL,AKAK,TUMAWA,MOKATAWA,,NGUYU,KEDEK,KEREREQ,SEURI,KETAWA,TERTAWA
FOLHA,FEUILLE,FOGLIO,HOJA,FULLA,FUEIO,FOGLIA,FOLLA,FRUNZA,BLATT,BLAD,BLAD,LEAF,LAUFBLAO,BLAD,LOV,BLAO,LOV,DELIENN,DALEN,DUILLEOG,LIST,PERU,LIST,LIST,LIST,LYST,LIST,LIST,LISC,LAPAS,LAPA,PATRIN,KOLAYA,PAN,PAT,PAT,PATA,PETTA,PETTA,PETTA,PAN,PAN,PANA,BARG,BARG,THAKH,FLETE,TEREW,FILO,,RAQON,DAQUN,LABUN,DAHON,DAHON,,GODON,DON,GEDEN,DAUN,DAUN,DAUN
ESQUERDO,GAUCHE,SINISTRO,IZQUIERDO,ESQUER,GAUCHE,SCHNESTER,MANKA,STING,LINK,LINKS,LINKS,LEFT,VINSTRI,VENSTRE,VANSTER,VINSTRI,VENSTRE,KLEIZ,CHWITH,CLE,LJAVO,LEVIC,LJEVICA,LEVYJ,LEVY,LIVYJ,LEVY,LAVY,LEWY,KAIRYS,KREISAIS,NASUL,VAMATA,KHOWORU,DEBRO,DEBRE,BA,KHEBBA,KHEBBA,BAYA,DAVA,DABU,KIN,CHAP,CAP,CHAP,MENGER,JAX,ZERVOS,,DIWAN,KAWARA NA QUTAW,WALA,KALIWA,WALA,,KIWA,KEBOT,KIRI,KENCA,KIBA,KIRI
PERNA,JAMBE,GAMBA,PIERNA,CAMA,CAMBO,CHAMMA,KAMBA,PICIOR,BEIN,BEEN,BEEN,LEG,FOTR,BEN,BEN,BEIN,BEN,GAR,COES,COS,KRAK,NOGA,NOGA,NOGA,NAGA,NOGA,NOHA,NOHA,NOGA,KOJA,KAJA,CANK,KAKULA,ZANG,KHUTTA,KHUTTO,PA,TENG,LETT,TAG,PAY,PEG,PSA,PA,PO,PHADH,KEMBE,OT,PODHI,,AQI,BITIQIS,RAPARAPA,BINTI,TIIL,,SIKIL,BATIS,NAE,KAKI,KAKI,KAKI
ESTAR POSTO,SE COUCHER,GIACERE,YACER,RESPOSAR,COUCHA,GIASCHAIR,SIKROKKAI,A STA CULCAT,LIEGEN,LIGGEN,LE,LIE,LIGGJA,LIGGE,LIGGA,LIGGJA,LIGGE,GOURVEZ,GORWEDD,LUIGHE,LEZI,LEZI,LEZATI,LEZAT,ABKLADAC,LEZATY,LEZETI,LEZAT,LEZEC,GULETI,GULET,UZANURUM,ALA,0,0,KOLTE SUTNU,SOA,LETEN,LETNA,LETNA,PEDNE,SUWU,PREVATELAJ,KHABIDAN,DAROZ KASIDAN,WAFSAGH,STRITEM,PARKEL,IME KSAPLOMENOS,,IGAQ,0,IGYA,HUMIGA,MOHIGDAE,,TURON,NGEBAH,TINDOK,NGAGOLER,GALI,BERBARING
VIVER,VIVRE,VIVERE,VIVIR,VIVRER,VIEURE,VIVER,BIVI,A TRAI,LEBEN,LEVEN,LEEF,LIVE,LIFA,LEVE,LEVA,LIVA,LEVE,BEVAN,BYW,MAIREACHTAINT,ZIBEE,ZIVI,ZIVITI,ZIT,ZYC,ZYTY,ZITI,ZIT,ZYC,GYVENTI,DZIVOT,ZHUVEL,JIVAT,LASUN,JIUNO,JIUNU,JIOA,JIWEN,RENA,JINA,JEGNE,JIWEWU,ZVAND KAVEL,ZENDEGI KARDAN,ZINDAGI KARDAN,ZINDAGH,RON,APREL,ZO,,OIAG,0,BUHI,MABUHAY,MABUHI,,URIP,IDUP,IDUP,HIRUP,IDUP,HIDUP
FIGADO,FOIE,FEGATO,HIGADO,FETGE,FEGE,FIO,FIGAU,FICAT,LEBER,LEVER,LEWER,LIVER,LIFR,LEVER,LEVER,LIVUR,LEVER,AVU,AFU,AE,CERENDROB,JTRA,JETRA,PECEN,VANTROBA,PECINKA,JATRA,PECEN,WATROBA,KEPENOS,AKNAS,KALINJO,PIKUDU,JIGAR,KALEJO,KALEJO,KOLJE,JIGER,JIGER,DIL,KALIJ,0,INA,JEGAR,CIGAR,JAGHAR,MELCIA EZEZE,LYARD,SKOTI,,ATAY,QATAY,ATAY,ATAY,ATAY,,ATI,ATI,ATE,HATE,ATAU,HATI
LONGO,LONG,LUNGO,LARGO,LLARCH,LONG,LUNGIA,LONGU,LUNG,LANG,LANG,LANG,LONG,LANGR,LANG,LANG,LANGUR,LANG,HIR,HIR,FADA,DELGO,DOVGU,DUG,DLINNYJ,DAWHI,DOVGYJ,DLOUHY,DLHY,DLUGI,ILGAS,GARS,LUNGO,DIGA,ZYUTHU,LAMO,LAMU,LOMBA,LEMBA,LEMMA,LEMBA,LAMB,LAMBU,UZD,DERAZ,DAROZ,DRAZH,IGATE,ERKAR,MAKRIS,,MALABAQ,MAQABAQ,ABA,MAHABA,TAAS,,DAWA,DAWA,BELO,PANJANG,PANJAI,PANJANG
PIOLHO,POU,PIDOCCHIO,PIOJO,POLL,PESOU,PLUOGL,PRIOGU,PADUCHE,LAUS,VLOO,LUIS,LOUSE,LUS,LUS,LUS,LUS,LUS,LAOUENN,LLEUEN,MIOL,VESKA,USI,US,VOS,VOS,VOSA,VES,VOS,WESZ,UTELE,UTS,JUV,TADIYA,ZOV,JUMRA,JUMRO,UKUN,0,JU,JU,U,0,SPEZA,SHEPESH,0,BOT,MOR,OJIL,PSIRA,,KOTO,KUTU,KUTU,KUTO,KUTO,,TUMA,KUTU,GUTU,KUTU,KUTU,KUTU
HOMEM,HOMME,UOMO,HOMBRE,HOME,OME,HOMENS,OMINI,BARBAT,MANN,MAN,MAN,MAN,KARL,MANN,MAN,MADUR,MAND,GWAZ,DYN,FEAR,MEZ,MOZ,COVEK,MUZCINA,MUZCYNA,LJUDYNA,MUZ,CHLAP,MEZCZYZNA,VYRAS,VIRIETIS,MRUS,MINIHA,MARD,MANCHHA,MANCHE,PURUS,ADMI,ADMI,ADMI,PURUS,MANES,SARAJ,ADAM,MARD,MARD,BURE,MARD,ANDRAS,,MAMA,QESEG,LALAKI,LALAKE,LALAKI,,LANAN,MUANI,MAME,LALAKI,LAKI,LAKILAKI
MUITOS,BEAUCOUP,MOLTI,MUCHOS,MOLT,MANT,BAINQUAUNTS,MERAS,MULTI,VIELE,VEEL,BAIE,MANY,MARGIR,MANGE,MANGA,MANGUR,MANGE,KALZ,LLAWER,GO LEOR,MNOGO,DOSTI,MNOGI,MNOGO,SMAT,BAHATO,MNOHO,MNOHY,DUZO,DAUG,DAUDZ,BUT,HUNGAK,SETHAH,DHERI,DHER,ONEK,KEI,BOT,BOHT,PUSKEL,GHERU,DER,ZIAD,BIS ER,BA Z,SUME,BAZUM,POLI,,0,0,0,0,DAGHAN,,0,0,0,LOBA,0,BANYAK
CARNE,VIANDE,CARNE,CARNE,CARN,VIANDO,CHARN,PECCA,CARNE,FLEISCH,VLEESCH,VLEES,MEAT,HOLD,KJOTT,MAT,HOLD,KOD,KIG,CIG,FEOIL,MESO,MESO,MESO,MJASO,MJASA,MJASO,MASO,MASO,MIESO,MESA,GALA,MAS,MAS,MAZ,SHIKAR,MASU,MANSO,MAS,MAS,MAS,MAS,MAS,GVASA,GUSHT,GUST,GOZHD,MIS,MIS,KREAS,,SAPOQ,0,TUBAN,LAMAN,UNOD,,DAGIN,ISI,EMPAQ,DAGING,ISI,DAGING
MAI,MERE,MADRE,MADRE,MARE,MAIRE,MAMA,MAMMA,MAMA,MUTTER,MOEDER,MOEDER,MOTHER,MOOIR,MOR,MODER,MODIR,MODER,MAMM,MAM,MATHAIR,MAJKA,MATI,MAJKA,MAT,MACI,MATY,MATKA,MATKA,MATKA,MOTINA,MATE,DALE,MAVA,MOJU,AMA,AMA,MA,MA,MA,MA,AI,MA,MOR,MADAR,MODAR,MATH,NENE,MAYR,MITERA,,INAQ,QINAQ,INA,INAY,INAHAN,,IBU,MEME,INAQ,INDUNG,INDAI,IBU
MONTE,MONTAGNE,MONTAGNA,MONTANA,MONT,MOUNTAGNO,MUNT,MONTI,MUNTE,BERG,BERG,BERG,MOUNTAIN,FJALL,FJELL,BERG,FJALL,BJERG,MENEZ,MYNYDD,SLIABH,PLANINA,GORE,GORA,GORA,HARA,HORA,HORA,HORA,GORA,KALNAS,KALNS,VOS,KANDA,BAL,PARBAT,PARBAT,PORBOT,PEHAR,PAR,PEHAR,DONGER,PERWET,GAR,KUH,KUX,PHAWAD,MAL,SAR,VUNO,,0,0,0,0,BUKID,,0,0,0,0,0,0
BOCCA,BOUCHE,BOCCA,BOCA,BOCA,BOUCO,BUOCHA,BUKKA,GURA,MUND,MOND,MOND,MOUTH,MUNNR,MUNN,MUN,MUNNUR,MUND,GENOU,CEG,BEAL,USTA,VUJSTA,USTA,ROT,ROT,ROT,USTA,USTA,USTA,BURNA,MUTE,MUI,KATA,MOKH,MUKH,MUKH,MUK,MU,MU,MUKH,TOND,MOH,XLA,DAHAN,DAXAN,DAF,GOJE,BERAN,STOMA,,NARIQ,BABAQ,BIBIG,BIBIG,BABA,,CANKEM,BUNNUT,BIWIH,SUNGUT,MULUT,MULUT
NOME,NOM,NOME,NOMBRE,NOM,NOUM,NOM,NOMINI,NUME,NAME,NAAM,NAAM,NAME,NAFN,NAVN,NAMN,NAVN,NAVN,ANV,ENW,AINM,IME,IMJ,IME,IMJA,IMJA,IM JA,JMENO,MENO,IMIE,VARDAS,VARDS,ALAV,NAMA,NAV,NAM,NAU,NAM,NA,NA,NAM,NAV,NAM,NUM,ESM,NOM,NAM,EMER,ANUN,ONOMA,,NARAN,QARAN,NARAN,PANGALAN,NGALAN,,JENEN,ADAN,ARAN,NGARAN,NAMA,NAMA
APERTADO,ETROIT,STRETTO,ANGOSTO,ESTRET,ESTRE,STRET,STRINTU,INGUST,ENG,NAUW,NOU,NARROW,THRONGUR,SMAL,TRANG,TRONGUR,SMAL,STRIZH,CUL,CAOL,TESNO,TESEN,UZAK,UZKIJ,VUZKI,VUZ KYJ,UZKY,UZKY,WAZKI,SIAURAS,SAURS,TANK,PATU,TANG,SANGURO,SAGURO,SORU,TEG,PIRA,SEKRA,ERUNDE,SAKRU,TANG,BARIK,TANG,TANKH,NGUSTE,NEL,STENOS,,MASIMPIT,MAPIYET,DIIT,MAKITID,HAGIPOT,,SESAK,CUPEK,KUTIQ,HEURIN,SEKUT,SEMPIT
CHEGADO,PRES,VICINO,CERCA,TANCA,PROCHE,ARDAINT,AKKANTA,APROPIAT,NAHE,NABIJ,NABY,NEAR,NALAEGT,NAER,NARA,NAR,NAER,TOST,AGOS,COMHGARACH,BLIZKO,BLIZII,BLIZU,BLIZKO,BLIZKI,BILJA,BLIZKY,BLIZKY,BLIZKO,ARTI,TUVU,PASE,LANGA,NISH,NIR,NIRA,KACE,KOL,NERE,PAS,JEVEL,PASE,NEZDE,NAZDIK,NAZDIK,NAZI,AFER,MOTIK,KONDA,,MARANI,MASAQID,ARANI,MALAPIT,DUOL,,CEDAK,PAEK,RAPET,DEUKEUT,DAMPIH,DEKAT
PESCOCO,COU,COLLO,CUELLO,COLL,COU,CULOZ,ZUGU,GIT,HALS,HALS,HALS,NECK,HALS,HALS,HALS,HALSUR,HALS,GOUZOUG,GWDDF,MUINEAL,BRAT,VRAT,VRAT,SEJA,KARAK,SYJA,KRK,KRK,SZYJA,KAKLAS,KAKLS,KHOR,KARA,KORU,GHANTI,MANTO,GHAR,GERDEN,GICCI,GERDEN,MAN,GELU,GARA,GARDAN,GARDAN,GWAR,KAFE,COCRAK,LEMOS,,LIG,LIYEG,LIUG,LEEG,LIOG,,GULU,BAONG,BELON,BEUHEUNG,REKON,LEHER
NOVO,NOUVEAU,NUOVO,NUEVO,NOU,NOUVEU,NOUV,NOU,NOU,NEU,NIEUW,NUWE,NEW,NYR,NY,NY,NYGGJUR,NY,NEVEZ,NEWYDD,NUA,NOVO,NOVA,NOV,NOVYJ,NOVY,NOVYJ A E,NOVY,NOVY,NOWY,NAUJAS,JAUNS,NEVO,NAVA,NOWU,NAYA,NAULO,NOTUN,NEWA,NEVA,NEYA,NEVIN,NEWU,NEVAJ,TAZE,NAV,NOKH,I IRI,NOR,KENURYOS,,BEGO,BAGU,BAGU,BAGO,BAGO,,ANAR,MARA,BARU,ANYAR,BARU,BARU
NOITE,NUIT,NOTTE,NOCHE,NIT,NUE,NOT,NOTTI,NOAPTE,NACHT,NACHT,NAG,NIGHT,NOTT,NATT,NATT,NATT,NAT,NOZ,NOS,OIDHCHE,NOSC,NOC,NOC,NOC,NOC,NIC,NOC,NOC,NOC,NAKTIS,NAKTS,RATYI,RA,RATH,RAT,RAT,RAT,RAT,RAT,RAT,RATRE,RAT,SPA,SHAB,SAB,SHAF,NATE,GISER,NIKHTA,,GAGAOIQI,GABI,YABI,GABI,GABII,,BENI,PETENG,MALEM,PEUTING,MALAM,MALAM
NARIZ,NEZ,NASO,NARIZ,NAS,NAS,NES,NASU,NAS,NASE,NEUS,NEUS,NOSE,NEF,NESE,NASA,NOS,NAESE,FRI,TRWYN,SRON,NOS,NUS,NOS,NOS,NOS,NIS,NOS,NOS,NOS,NOSIS,DEGUNS,NAK,NAHAYA,NAST,NAK,NAK,NAK,NEK,NEKK,NAK,NAK,NAK,PAZA,DAMAGH,BINI,PHONZ,UNDE,KIT,MITI,,NIRON,QILUNG,IRUN,ILONG,ILONG,,IRUN,CUNGUH,IDUN,IRUNG,IDON,HIDUNG
NAO,NE PAS,NON,NO,NO,NOUN,NA,NO,NU,NICHT,NIET,NIE,NOT,EKKI,IKKE,ICKE,IKKI,IKKE,NE,NID,NI,NE,NJE,NE,NE,NE,NE,NE,NIE,NIE,NE,NE,IN,NAHA,NA,0,NA,NA,NE,NEI,NA,NE,NEHI,NA,NA,NA,NA,JO,OC,MIN,,DIQ,BEKEQ,BALAW,HINDI,DILI DI,,ORAN,TUSING,NDEQ,HENTEU,NADAI,TIDAK
VELHO,VIEUX,VECCHIO,VIEJO,VELL,VIEI,VEGL,BECCU,BATRIN,ALT,OUD,OUD,OLD,GAMALL,GAMMEL,GAMMAL,GAMAL,GAMMEL,KOZH,HEN,SEAN,STARO,STAR,STAR,STARYJ,STARY,STARYJ,STARY,STARY,STARY,SENAS,VECS,PHURO,NAKI,BUDA,BURO,BURO,BURO,BUDDHA,PERANA,BURHA,MHATARA,BUDDHU,ZOR,PIR,PIR,PHIR,VJETER,HIN,PALYOS,,MATOQA,DADAQAN,GURAN,MATANDA,TIGULANG,,TUWA,TUA,TOAQ,KOLOT,TUAI,TUA
UM,UN,UNO,UN,UN,UN,UN,UNU,UN,EIN,EEN,EEN,ONE,EINN,EN,EN,EIN,EN,UNAN,UN,AON,EDNO,ADEN,JEDAN,ODIN,ADZIN,ODYN,JEDEN,JEDEN,JEDEN,NIENAS,VIENS,YEK,EKA,OKU,YOTA,EK,EK,HIK,IKK,EK,EK,EK,JAV,YEK,JAK,YAK,NE,MEK,ENAS,,ISA,QISA,USA,ISA,ONE,,SIJI,SA,SEKEQ,HIJI,SATU,SATU
OUTRO,AUTRE,ALTRO,OTRO,ALTRA,AUTRE,OTER,ATRU,ALT,ANDER,ANDER,ANDER,OTHER,ANNAR,ANNEN,ANDRA,ANNAR,ANDEN,ALL,ARALL,EILE,DRUGO,DRUGI,DRUGI,DRUGOJ,INSY,INSYJ,JINY,INY,INNY,KITAS,CITS,AVER,ARA,BYAKH,ARKO,ARU,ONNO,BIYA,0,DUSRA,DUSRA,BIJU,BEL,DIGAR,DIGAR,DOHMI,TJATRE,URIS,ALOS,,SAMBIDAQ,TUBUK,IBA,IBA,UBAN PA,,SEJE,LEN,LAIN,LAIN,BUKAI,LAIN
PESSOA,PERSONNE,PERSONA,PERSONA,PERSONA,PERSOUNO,CRASTIAUN,PERSONA,PERSOANA,MENSCH,MENSCH,PERSOON,PERSON,MAOR,MENNESKE,PERSON,MADUR,PERSON,DEN,PERSON,DUINE,LICE,OSJBA,OSOBA,CELOVEK,ASOBA,OSOBA,OSOBA,OSOBA,CZLOWIEK,ASMUO,PERSONA,MANUS,MINIHA,ZAN,0,MANIS,LOK,SEXS,JENA,LOG,MANUS,RYEKTI,TAN,SHAKHS,ODAM,KHAS,NERI,ANJ,ANTHROPOS,,TAW,QUTAW,TAWU,TAO,TAWO,,UWON,ANAK,TAU,JELEMA,ORAN,ORANG
JOGAR,JOUER,GIOCARE,JUGAR,RIURERSE D ALGU,JOUGA,GIOVER,GOGAI,A,SPIELEN,SPELEN,SPEEL,PLAY,LEIKASER,LEKE,SPELA,LEIKA,LEGE,C HOARI,CHWARAE,IMIRT,IGRAE,SE JGRAT,IGRATI SE,IGRAT,HULJAC,HRATY,HRATI,HRAT,GRAC,ZAISTI,SPELET,KHELAV,SELLAM,GINDUN,KHELNU,KHELNU,KHELA,KHEDEN,KHEDDENA,KHELNA,KHELNE,REMOWU,BAZI KAVEL,BAZI KARDAN,BOZI KARDAN,LEV KHANAGH,LHOS,XALAL,PEZO,,0,0,0,LARO,DULA,,0,0,0,MAEN,0,BERMAIN
PUXAR,TIRER,TIRARE,TIRAR,TRAURER,TIRA,TRER,TIRAI,A TRAGE,ZIEHEN,TREKKEN,TREK,PULL,DRAGA,TREKKE,DRAGA,DRAGA,TRAEKKE,SACHAN,TYNNU,TARRAINGT,DERPA,NATZRAT,VUCI,TJANUT,CJAHNUC,TJAHNUTY,TAHATI,TAHAT,CIAGNAC,TRAUKTI,VILKT,SWRDAV,ADINAWA,LAMUN,TANNU,KHAICNU,TANA,KHICCEN,KHICCENA,KHICNA,ODHNE,KHECWU,KSEL,KASHIDAN,KASIDAN,CHIKAGH,EK,K ASEL,TRAVO,,0,0,0,HILA,0,,0,0,0,METOT,0,TARIK
EMPURRAR,POUSSER,SPINGERE,EMPUJAR,EMPENYER,BUTA,SBUERLER,SPINGI,A IMPINGE,STOSSEN,SCHUIVEN,VOORT DRYF,PUSH,YTA,SKYVE,SKJUTA PA,SKUMPA,STODE,BOUNTAN,GWTHIO,BRUGHADH,BUTA,PORIVAT,GURATI,TOLKAT,PXAC,PXATY,STRKATI,STRKAT,PCHAC,STUMTI,GRUST,SPILDAV,TALLU,ZIRU DINU,GHACHYA DINU,GHACETNU,DHAKKA,KHICCEN,TIKKENA,DEBANA,DHEKELNE,DHEKKELWU,PORIVAHEL,HOL DADAN,TELA DODAN,TELAN,STYN,HREL,SPROKHNO,,0,0,0,TULAK,0,,0,0,0,NULAK,0,TORONG
CHOVER,PLEUVOIR,PIOVERE,LLOVER,PLOURER,PLOURE,PLOUVER,PROI,A PLOUA,REGNEN,REGENEN,REEN,RAIN,RIGNA,REGNE,REGNA,REGNA,REGN,GLAV A ZO,BWRW GLAW,FEARTHAINN DO CHUR,VALI,DEZ,KISITI,DOZD IDET,DOZDZ,PADE DOSC,PRSETI,PRSAT,DESZCZ PADA,LYTI,LIT,BRWSUNT,VAHINAWA,RUD PYONU,BARSANU,BARSANU,JOL,BARES THIWEN,VESSENA,BERESNA,PAUS,WERSAD PERE CUE,BARAN UREZI,BARIDAN,BORON BORIDA ISTODAAST,GWARAGH,BIE SI,ANJREW,VRECHI,,ORAN,QURAN,URAN,ULAN,ULAN,,UDAN,UJAN,UJAN,HUJAN,UJAN,HUJAN
VERMELHO,ROUGE,ROSSO,ROJO,ROIG,ROUGE,COTSCHEN,ARRUBIU,ROSU,ROT,ROOD,ROOI,RED,RAUOR,ROD,ROD,REYDUR,ROD,RUZ,COCH,DEARG,CERVENO,RUDJCE,CRVEN,KRASNYJ,CYRVONY,CERVONYJ,CERVENY,CERVENY,CZERWONY,RAUDONAS,SARKANS,LOLO,RATA,WOZOLU,RATO,RATO,LAL,LAL,LAL,LAL,TAMBDA,LAL,SUR,SORKH,SURX,SUHR,IKUK,KARMIR,KOKINOS,,MARIGAQ,MAPURA,MARARA,PULA,PULA,,ABAN,BARAK,ABAN,BEUREUM,MIRAH,MERAH
DIREITO,JUSTE,GIUSTO,DERECHO,RECTE,JUST,DRET,GUSTU,CORECT,RECHT,RICHTIG,REG,RIGHT,RETTR,RIKTIG,RATT,RAETTUR,RET,REIZH,CYWIR,CEART,VJARNO,PROV,ISPRAVNO,PRAVILNYJ,PRAVIDLOVY,PRJAMYJ,SPRAVNY,SPRAVNY,SLUSZNY,TAISYKLINGAS,PAREIZS,TAMAMI,HARI,0,THIK,THIK,THIK,THIK,THIK,THIK,THIK,SACU,SAM,DOROST,ODILONA,RAST,DREK,ULI L,DHIKYO,,0,0,0,0,0,,0,0,0,BENER,0,0
DIREITO,DROIT,DESTRO,DERECHO,DRETA,DRE,DRET,DERETTU,DREPT,RECHT,RECHTS,REG,RIGHT,HAEGRI,HOYRE,HOGER,HOGRI,HOJRE,DEHOU,DE,DEAS,DJASNO,DESNA RAKA,DESNICA,PRAVYJ,PRAVY,PRAVORUC,PRAVY,PRAVY,PRAWY,DESINYS,LABAIS,CACO,DAKUNATA,DACHYUNU,DAHINA,DAINU,DAN,SEJJA,SEJJA,DAYA,UJVA,JEMELU,SAJ,RAST,BEGUNOX,RAST,DJATHE,AJ,DHEKSIS,,KAWANAN,KARINTU NA QUTAW,SIKUN,KANAN,TUO,,TENEN,TENGAWAN,KAWAN,KATUHU,KANAN,KANAN
RIO,RIVIERE,FIUME,RIO,RIU,RIBIERO,FLUM,FLUMINI,RIU,FLUSS,RIVIER,RIVIER,RIVER,A,ELV,FLOD,A,FLOD,STER,AFON,ABHAINN,REKA,POTOK,REKA,REKA,RAKA,RICKA,REKA,RIEKA,RZEKA,UPE,UPE,POTAMI,GANGA,KOL,GANGA,DARIYA,NODI,DERYA,NEDI,NEDI,NEDI,NEDI,RUD,SUDKHANE,DAR E,DIRA,LHUME,GET,POTAMI,,0,0,0,ILOG,SUBA,,0,0,0,WALUNGAN,0,0
