Portuguese,French,Italian,Spanish,Catalan,Provencal,Ladin,Sardinian,Romanian,German,Dutch,Afrikaans,English,Icelandic,Norwegian,Swedish,Faroese,Danish,Breton,Welsh,Irish,Bulgarian,Slovenian,Serbo-Croatian,Russian,Belarusian,Ukrainian,Czech,Slovak,Polish,Lithuanian,Latvian,Romani,Singhalese,Kashmiri,Khaskura,Nepali,Bengali,Lahnda,Panjabi,Hindi,Marathi,Gujarati,Pashto,Persian,Tajik,Baluchi,Albanian,Armenian,Greek,,Maranao,Mansaka,Hanunoo,Tagalog,Cebuano,,Javanese,Bali,Sasak,Sunda,Iban,Indonesian
ESTRADA,CHEMIN,STRADA,CAMINO,CAMI,ROUTO,VIA,ARRUGA,DRUM,WEG,WEG,WEG,ROAD,VEGR,VEI,VAG,VEGUR,VEJ,HENT,HEOL,BOTHAR,NET,CESTA,PUT,DOROGA,SLJAX,DOROHA,CESTA,CESTA,DROGA,KELIAS,CELS,DROM,PARA,WATH,BATO,BATO,SOROK,SEREK,SEREK,RASTA,RESTA,RESTO,LAR,RAH,POX,DAG,UDHE,CAMPA,DHROMOS,,LALAN,0,DALAN,DAAN,DALAN,,DALAN,RURUNG,LANAN,JALAN,JALAI,JALAN
RAIZ,RACINE,RADICE,RAIZ,ARREL,RACINO,RISCH,ARREZINA,RADACINA,WURZEL,WORTEL,WORTEL,ROOT,ROT,ROT,ROT,ROT,ROD,GWRIZIENN,GWREIDDYN,PREAMH,KOREN,KORERUKA,KOREN,KOREN,KARIN,KORIN,KOREN,KOREN,KORZEN,SAKNIS,SAKNE,RIZA,MULA,MUL,JARA,JARO,SEKOR,JER,JER,MUL,MUL,MUL,BEX,RISHE,RESA,PAR,RENE,ARMAT,RIZA,,DALIG,GAMUT,GAMUT,UGAT,GAMUT,,OYOT,AKAH,AKAH,AKAR,URAT,AKAR
CORDA,CORDE,CORDA,CUERDA,CORDA,CORDO,CORDA,FUNI,FRINGHIE,SEIL,TOUW,TOU,ROPE,REIPI,TAU,REP,REIP,REP,KORDENN,RHAFF,TEAD,VEZE,SPAH,KONOPAC,VEREVKA,VJAROWKA,LYNVA,PROVAZ,POVRAZ,SZNUR,VIRVE,VIRVE,SKINI,LANUWA,RAZ,JIURI,DORI,DORI,RESSI,RESSA,RESSA,DOR,DORERU,PERAJ,TANAB,ARWAMCINI,REZ,TERKUZE,PARAN,SKINI,,TALI,LUBID,LUBID,LUBID,PISI,,TALI,TALI,TETALI,TALI,TALI,TALI
PODRE,POURRI,MARCIO,PODRIDO,PUDRIT,POURRI,PUTIRD,MALU,PUTRED,FAUL,VERROT,ROT,ROTTEN,FUINN,ROTTEN,RUTTEN,FUGVIN,RAADDEN,BREIN,PWDR,LOBHTHA,GNILO,GRULA,GNJIO,GNILOJ,HNILY,HNYLYJ,SHNILY,ZHNITY,ZGNILY,SUPUVES,SAPUVIS,SAPYO,DIRACCA,DODURU,0,MAKINU,POCE,SERI,SEREA HOYA,SERA,NASKA,0,VROST,PUSIDE,PUSIDA,GALAGH,KALHBUR,NEXAC,SAPYOS,,GABOK,DUNUT,MAIBAS,BULOK,LATAE,,MAMBU,BENGU,BAIS,BURUK,BUROK,BUSUK
ESFREGAR,FROTTER,FREGARE,FROTAR,FREGAR,FRETA,SFRUSCHER,FRIGAI,FRICTIONA,REIBEN,WRIJVEN,VRYF,RUB,NUA,GNI,GNUGGA,GNIGGJA,GNIDE,FROTAN,RHWBIO,CUIMILT,TERKANE,MAZATI,TRENJE,TERET,CERCI,TERTJA,TRITI,TRET,TRZEC,TRINTI,BERZT,TRIVO,MADINAWA,MALUN,MICHNU,GHASNU,GHOSA,MANEN,REGERNA,REGERNA,GHASNE,GHESWU,MUSEL,MALIDAN,SOIGAN,MALAGH,FERKON,SP EL,TRIVO,,0,0,0,KUSKOS,0,,0,0,0,NGAGOSOK,0,MENGGOSOK
SAL,SEL,SALE,SAL,SAL,SAU,SAL,SALI,SARE,SALZ,ZOUT,SOUT,SALT,SALT,SALT,SALT,SALT,SALT,HOLEN,HALEN,SALANN,SOL,SOV,SOL,SOL,SOL,SIL,SUL,SOL,SOL,DRUSKA,SALS,LON,LUNU,NUN,NUN,NUN,NUN,LUN,LUN,NEMEK,MITH,MITHU,MALGA,NAMAK,NAMAK,WHADH,KRIPE,AL,ALATI,,ASIN,QASIN,ASIN,ASIN,ASIN,,UYAH,UYAH,SIE,UYAH,GARAM,GARAM
AREA,SABLE,SABBIA,ARENA,SORRA,SABLO,SABLUN,ARENA,NISIP,SAND,ZAND,SAND,SAND,SANDR,SAND,SAND,SANDUR,SAND,TRAEZH,TYWOD,GAINEAMH,PJASEK,PESK,PESAK,PESOK,PJASOK,PISOK,PISEK,PIESOK,PIASEK,SMELIS,SMILTIS,KISAY,VALI,SEKH,BALUWA,RETI,BALU,RET,RET,BALU,VALU,RETI,SEGA,SHEN,0,REKH,KUM,AWAZ,AMOS,,PETED,BUWANGIN,BARAS,BUHANGIN,BALAS,,WEDI,BIAS,BIRAS,KEUSIK,PASIR,PASIR
DIZER,DIRE,DIRE,DECIR,DIR,DIRE,DIR,NAI,A ZICE,SAGEN,ZEGGEN,SE,SAY,SEGJA,SI,SAGA,SIGA,SIGE,LAVAROUT,DWEUD,RADH,KAZVA,RECI,KAZATI,GOVORIT,SKAZAC,SKAZATY,RICI,HOVORIT,MOWIC,SAKYTI,SACIT,PHENAV,KIYANAWA,WANUN,BHANNU,BHANNU,KOOA,AKHEN,KENA,KEHNA,MHENNE,KEHEWU,VAJEL,GOFTAN,GUFTAN,GUSHAGH,THEM,ASEL,LEO,,GANDIN,SURIT,MAGKUN,SABIHIN,BUNGAT,,KANDA,NGOMONG,MUNI,NGOMONG,SEBUT,BERKATA
COCAR,GRATTER,GRATTARE,RASCAR,GRATAR,GRATA,SGRATTER,SKRAFFI,A SCARPINA,KRATZEN,KRABLEN,KRAP,SCRATCH,KLORA,KLO,KLOSA,KLORA,KRADSE,SKRABAN,CRAFU,TOCHAS,CESA,PODRGNI,CESATI,CESATSJA,CYXACCA,DRJAPADY,SKRABATI SE,SKRABAT,DRAPAC SIE,KASYTI,KASIT,XALMAN,KASANAWA,KASHUN,KANEAUNU,KANYAUNU,RASCAR,KHUJLAWEN,KHURCENA,KHEROCNA,KHAJEVNE,KHEJEWALWU,GEREDEL,KHARIDAN,XORIDAN,KHARAGH,KRUAN,CANKREL,KSYO,,KAKET,KATIL,KAGAW,KAMUTIN,KALOTON,,NUKUR,NGASGAS,NENAOK,NGAGARO,GARU,MENGGARUK
MAR,MER,MARE,MAR,MAR,MAR,MER,MARI,MARE,SEE,ZEE,SEE,SEA,SAER,SJO,HAV,SJOGVUR,HAV,MOR,MOR,FAIRRGE,MORE,MORJE,MORE,MORE,MORA,MORE,MORE,MORE,MORZE,JURA,JURA,DENIZI,MUHUDA,SODAR,SAMUNDAR,SAMUDRA,SAMUDRO,SEMUNDER,SEMUNDER,SEMUDR,SEMUDRE,DERIGO,BAHR,DARYA,BAXR,SAMUNDAR,DET,COV,THALASA,,RAGAT,DAGAT,LAWUD,DAGAT,DAGAT,,SEGARA,PASIH,SEGARE,LAUT,LAUT,LAUT
VER,VOIR,VEDERE,VER,VEURER,VEIRE,VAIR,BIRI,A VEDEA,SEHEN,ZIEN,SIEN,SEE,SEA,SE,SE,SIGGJA,SE,GWELOUT,GWELED,FEISCINT,VIZDA,VIDIS,VIDETI,VIDET,BACYC,DYVYTYS,VIDETI,VIDET,WIDZIEC,MATYTI,REDZET,DIKHAV,BALANAVA,WUCHUN,DEKHNU,DEKHNU,DEKHA,DEKHEN,DEKHNA,DEKHNA,PAHNE,JOWU,LIDEL,DIDAN,DIDAN,GINDAGH,SO,TESNEL,VLEPO,,ILAY,KITAQ,MAKAKIT,MAKITA,MOTANAW,,NONTON,NINGALIN,GEGITAQ,NENJO,PEDA,MELIHAT
SEMENTE,SEMENCE,SEME,SEMILLA,GRANA,GRANO,SEM,SEMINI,SAMINTA,SAAT,ZAAD,SAAD,SEED,FRAE,FRO,SAD,FRAE,SAED,HAD,HAD,SIOL,ZERNO,SEME,SEME,ZERNO,NASEN NE,NASINNJA,SEME,SEMENO,ZIARNO,SEKLA,SEKLA,GIV,ATA,BYOLU,BIU,BIU,BIJ,BIJ,BI,BIJ,BI,BI,DANA,TOKHM,DON,BIJ,FARE,HATIK,SPOROS,,0,0,0,BINHI,BINHI,,0,0,0,SIKI,0,BIJI
COSER,COUDRE,CUCIRE,COSER,CUSIR,COURDURA,CUSIR,KUSIRI,A COASE,NAHEN,NAAIEN,NAAIE,SEW,SAUMA,SY,SY,SEYMA,SY,GWRIAT,GWNIO,FUAGHAIL,SIE,SIVAT,SITI,SIT,SYC,SYTY,SITI,SIT,SZYC,SIUTI,SUT,SUVAV,MAHANAWA,SUWUN,SIUNU,SIUNU,SELAI,SIWEN,SYUNA,SINA,SIVNE,SIWEWU,DZORAVEL,DUKHTAN,DUXTAN,DOSHAGH,KEP,KAREL,RAVO,,PAMANAQI,TABING,TAHI,TAHIIN,MAGTAHI,,DONDOM,NYAIT,BEJAIT,NGAPUT,JAIT,MENJAHIT
AFIADO,TRANCHANT,TAGLIENTE,AGUDO,TALLANT,TRANCHU,TAGLIAINT,AKKUCCU,ASCUTIT,SCHARF,SCHERP,SKERP,SHARP,BEITTUR,SKARP,SKARP,BEITUR,SKARP,LEMM,LLYM,GEAR,OSTRO,OSTER,OSTAR,OSTRYJ,VOSTRY,HOCTRYJ,OSTRY,OSTRY,OSTRY,ASTRUS,ASS,KUCIME,MUHATA,TEZ,LAGNE,DHARILO,DHARALO,TEZ,TIKKHA,TEJ,DHARDAR,DHARDAR,TERE,TIZ,TEZ,TEZ,I MBRETE,SUR,KOFTEROS,,TAREM,MATARUM,MATARUM,MATALAS,HAIT,,LANDEP,MANGAN,TAJEP,SEUKEUT,TAJAM,TAJAM
CURTO,COURT,CORTO,CORTO,CURT,BREU,CUORT,KURCU,SCURT,KURZ,KORT,KORT,SHORT,STUTTR,KORT,KORT,STUTTUR,KORT,BERR,BYR,GEARR,KESO,KRATKO,KRATAK,KOROTKIJ,KAROTKI,KOROTKYJ,KRATKY,KRATKY,KROTKI,TRUMPAS,ISS,XARNO,KOTA,TSHOTU,HOCHO,CHOTO,KHATO,CHOTA,MEDRA,CHOTA,AKHUD,TUKU,MUXTASAR,KUTAH,KUTOX,GWAND,SKURTER,KARC,KONDOS,,MABABAQ,PANDAK,ABABA,MABABA,MUBOE,,CENDAK,BAWAK,KONTEQ,PONDOK,PANDAK,PENDEK
CANTAR,CHANTER,CANTARE,CANTAR,COPLA,CANTA,CHANTER,KANTAI,A CINTA,SINGEN,ZINGEN,SING,SING,SYNGVA,SYNGE,SJUNGA,SYNGJA,SYNGE,KANAN,CANU,AMHRAN DO RADH,PEE,PETI,PEVATI,PET,PJAJAC,SPIVATY,ZPIVATI,SPIEVAT,SPIEWAC,DAINUOTI,DZIEDAT,GILABAV,SINOU,GEWUN,GANU,GAUNU,GAOA,GAWEN,GONA,GANA,GANE,GAWU,VAJEL,AVAZ KHANDAN,XONDAN,GUSHAGH,KENDON,ERGEL,TRAGUDHO,,0,0,0,AWIT,AWIT,,0,0,0,NEMBANG,0,BERNYANYI
ESTAR ASSENTADO,ASSEOIR,SEDERE,SENTARSE,ASSENTARSE,ASSETA,SEZZER,SISEZZI,A SEDEA,SITZEN,ZITTEN,SIT,SIT,SITJA,SITTE,SITTA,SITA,SIDDE,AZEZAN,EISTEDD,SUIDHE,SEDI,SEDET,SEDITI,SIDET,SJADZEC,SYDITY,SEDETI,SEDET,SIEDZIEC,SEDETI,SEDET,BESAV,INDAGANAWA,BEHUN,BASNU,BAITHANU,BOSA,BAETHEN,BETHNA,BETHNA,BESNE,BESWU,KSENASTEL,NESHASTAN,NISASTAN,NINDAGH,RI,NSTEL,KATHOME,,ONTOD,QINGKUD,TUMUKAW,UMUPO,MOLINGKOD,,LONGUH,NEGAK,TOKOL,DIUK,DUDOK,DUDUK
PELLE,PEAU,PELLE,CUTIS,PELL,PEAU,PEL,PEDDI,PIELE,HAUT,HUID,HUID,SKIN,HUO,HUD,HUD,HUO,HUD,KROCHEN,CROEN,CRAICEANN,KOZA,KOZA,KOZA,KOZA,SKURA,SKURA,KUZE,KOZA,SKORA,ODA,ADA,MORKHI,HAMA,TSAM,CHHALA,KHALO,CAM,CEMRI,PINDA,CAM,KATEDI,CAMERI,POST,PUST,PUST,PHOST,CIPE,MASK,PETSI,,ANIT,PARIS NANG QUTAW,TARIP,BALAT,PANIT,,KULIT,KULIT,LENDON,KULIT,KULIT,KULIT
CEO,CIEL,CIELO,CIELO,CEL,CEU,TSCHEL,CELU,CER,HIMMEL,HEMEL,HEMEL,SKY,HIMINN,HIMMEL,HIMMEL,HIMIN,HIMMEL,OABL,AWYR,SPEIR,NEBE,NEBO,NEBO,NEBO,NEBA,NEBO,NEBE,OBLOHA,NIEBO,DANGUS,DEBESS,URANOS,AHASA,NAB,AKAS,AKAS,AKAS,ESMAN,ESMAN,AKAS,AKAS,AKAS,ASMAN,ASEMAN,OSMON,ARSH,KIEL,ERKINK,URANOS,,LANIT,QAWANAN,LANIT,LANGIT,LANGIT,,LANIT,LANGIT,LANIT,LANGIT,LANIT,LANGIT
DORMIR,DORMIR,DORMIRE,DORMIR,ADORMIRSE,DOURMI,DORMIR,DORMIRI,A DORMI,SCHLAFEN,SLAAP,SLAAP,SLEEP,SOFA,SOVE,SOVA,SOVA,SOVE,KOUSKET,CYSGU,CODLADH,SPI,SPATI,SPAVATI,SPAT,SPAC,SPATY,SPATI,SPAT,SPAC,MIEGOTI,GULET,PASLAV,NIDIYAGANAWA,SHONGUN,SUTNU,SUTNU,NIDJAOA,SEMMEN,SONA,SONA,NIJNE,UGHEWU,BIDEDEL,KHABIDAN,XOBIDAN,AKSAGH,FLE,K NEL,KIMUME,,TOROG,TURUG,MATURUG,MATULOG,MATULOG,,TURU,PULES,TINDOK,SARE,TINDOK,TIDUR
PEQUENO,PETIT,PICCOLO,PEQUENO,PETIT,PICHOT,PITSCHEN,PITTIKKU,MIC,KLEIN,KLEIN,KLEIN,SMALL,LITILL,LITEN,LITEN,LITIL,LILLE,BIHAN,BACH,BEAG,MALKO,MAJKEN,MALI,MALENKIJ,MALY,MALYJ,MALY,MALY,MALY,MAZAS,MAZS,XURDO,PODI,LUKU,SIANO,CHOTO,CHOTO,CHOTA,CHOTTA,CHOTA,LEHAN,NAHNU,KUCNAJ,KUCHEK,XUDR,KIK,I VOGELH I,P OK R,MIKRO,,MAITEK,TAGBIQ,DIIT,MALIIT,GAMAY,,CILIK,CENIK,KODEQ,LEUTIK,MIT,KECIL
CHEIRAR,SENTIR,SENTIRE,OLER,OLORAR,SENTI,SAVURER,FRAGAI,A MIROSI,RIECHEN,RUIKEN,RUIK,SMELL,THEFA,LUKTE,LUKTA,TEVJA,LUGTE,KLEVOUT,GWYNTIO,BOLADH D FHAGHAIL,POMIRISVA,SMRDI,MIRISATI,CUVSTVOVAT,CUC PAX,NJUXATY,CITITI,NUCHAT,CZUC,UZUOSTI,OST,KHANDAV,IMBINAWA,PHUKUN,SUNGNU,SUNNU,GONDHA,SUNNEN,SUNGENA,SUGHNA,HUNGNE,SUGHEWU,HYS KAVEL,BU KARDAN,XIS KARDAN,BO GIRAGH,MBAN ERE,HOTOTEL,MIRIZO,,BANO,BAQUQ,SUMINHUT,AMUYIN,MOSIMHOT,,NAMBU,NGADEK,SIDUK,NYIUM,SIUM,MENCIUM
FUMO,FUMEE,FUMO,HUMO,FUM,FUM,FUM,FUMU,FUM,RAUCH,ROOK,ROOK,SMOKE,REYKR,ROK,ROK,ROYKUR,ROG,MOGED,MWG,DEATACH,NUSEK,DIM,DIM,DYM,DYM,DYM,KOUR,DYM,DYM,DUMAI,DUMI,DUMANO,DUMA,DAH,DHUWAN,DHUWA,DHOA,DHU,TUA,DHUA,DHUR,DHUMARO,DUD,DUD,DUD,DUHON,TYM,CUX,KAPNOS,,BEL,QEBEL,ANUS,USOK,ASO,,KELUK,ANDUS,PENDET,HASEUP,ASAP,ASAP
LISO,LISSE,PIANO,LISO,LLIS,UNI,GLISCH,LISU,NETED,GLATT,GELIJK,GLAD,SMOOTH,SLETTR,GLATT,SLAT,SLAETTUR,GLAT,LEVN,LLYFN,SLEAMHAIN,GLADKO,GLADKO,GLADAK,GLADKIJ,HLADKI,HLADKYJ,HLADKY,HLADKY,GLADKI,SVELNUS,GLUDS,ISYO,SILINOU,SATORU,CHILLO,SALAKKA,TELA,SAF,IK,CIKNA,GULGULIT,SUWALU,HAVAR,SAF,XAMVOR,LASUR,I FERKUAR,HART,OMALOS,,0,0,0,MAKINIS,0,,0,0,0,0,0,LICIN
COBRA,SERPENT,SERPE,CULEBRA,SERP,SERP,SERP,SERPENTI,SARPE,SCHLANGE,SLANG,SLANG,SNAKE,SLANGA,ORM,ORM,ORMUR,SLANGE,NAER,NEIDR,NATHAIR NIMHE,ZMIJA,KACA,ZMIJA,ZMEJA,ZMJAJA,HADJUKA,HAD,HAD,WAZ,GYVATE,CUSKA,SAP,NAYA,SARAPH,LAMKIRA,SAP,SAP,SEP,SEPP,SAP,SAP,SAP,MAR,MAR,MOR,MAR,GARPER,OJ,FIDHI,,NIPAY,TINANAP,ULAY,AHAS,HALAS,,ULA,LELIPI,ULAH,ORAY,ULAR,ULAR
NEVE,NEIGE,NEVE,NIEVE,NEU,NEU,NAIV,NI,ZAPADA,SCHNEE,SNEEUW,KAPOK,SNOW,SNJOR,SNE,SNO,KAVI,SNE,ERC H,EIRA,SNEACHTA,SNJAG,SNEK,SNEG,SNEG,SNEH,SNIH,SNIH,SNEH,SNIEG,SNIEGAS,SNIEGS,YIV,HIMA,SHIN,HIUN,HIU,BOROP,BERF,BEREPH,BERPH,HIME,BEREF,VAVRA,BARF,BARF,BAWAR,TEBORE,JYUN,CHYONI,,0,0,0,0,0,,0,0,0,SALJU,0,SALJI
ALGUM,QUELQUE,ALCUNI,ALGUNO,COLCOM,QUAUQUIS UN,ALCH,CERTU,CITEVA,ETWAS,EENIGE,ENIGE,SOME,NOKKRIR,NOEN,NAGON,NAKRIR,NOGEN,BENNAK,RHAI,EIGIAN,NJAKOLKO,MALO,NEKI,NEMNOGO,NEKATORY,JAKYJS,NEKTERY,NIEKTORY,TROCHE,KELI,KADS,XARNWK,TIKA,0,KOI,KOI,KICU,KUJH,KUS,KUCH,KAHI,KETLAK,CO,BA ZI,ANDAK,KHARD E,CA,OMANK,MERIKI,,0,0,0,ILAN,0,,0,0,0,SABABARAHA,0,BEBERAPA
CUSPIR,CRACHER,SPUTARE,ESCUPIR,ETJEGAR,ESCUPI,SCRACHER,SKUPPI,A SCUIPA,SPEIEN,SPUWEN,SPU,SPIT,SPYTA,SPYTTE,SPAT,SPYTA,SPYTTE,TUFAN,POERI,SEILE DO CHAITHEAMH,PLJUE,PLUNI,PLJUVATI,PLEVAT,PLERAC,PLJUVATY,PLIVATI,PLUT,PLUC,SPIAUTI,SPLAUTIES,CUNGAR,KELAGAHANAWA,THOKUN,THUKNU,THUKNU,THUTU,THUKKEN,THUKKENA,KHUKNA,THUNKNE,THURWU,TUKEL,TOF KARDAN,TUF KARDAN,THUK,PSTYT,T UK,FTYO,,OTAQ,TUBAD,MAGBUGA,SUMUKA,MANLUWA,,IDU,MAPEES,BETUSIQ,NYIDUH,NELUDAH,MELUDAH
FENDER,FENDRE,FENDERE,HENDER,CRIVELLAR,ESPECA,SFENDER,ZAKKAI,A,SPALTEN,SPLIJTEN,SPLITS,SPLIT,KLJUFA,KLOVE,SPLITTRA,KLUGVA,KLOVE,FAOUTAN,HOLLTI,SCOILTEADH,RAZCEPI,RASCEPAJ,KALATI,RASKALYVAT,RAZSCAPLJAC,DROBYTY,STIPATI,STIEPAT,ROZSZCZEPIAC,SKELTI,SASKALDIT,CHINAV,PALANAWA,PHALUN,CHIRNU,PHARNU,PHARA,TOREN,VEKKH,CIRNA,CIRNE,0,MATAVEL,NESF KARDAN,0,BURAGH,CAN,KTREL,SKIZO,,SIPAK,0,BANAG,BIYAKIN,PIKASON,,NYIGAR,NYIBAK,NYIGAR,MEULAH,BELAH,MEMBELAH
APERTAR,SERRER,PREMERE,APRETAR,COMPRIMIR,SARRA,SQUITSCHER,SPREMI,A STOARCE,DRUCKEN,PERSEN,UITPERS,SQUEEZE,KREISTA,KLEMME,KRAMA,KROYSTA,TRYKKE,GWESKEL,GWASGU,BRUGHADH,STISNE,STISNI,PROTURATI,SZIMAT,SCISKAC,DAVYTY,ZMACKNOUTI,TISNUT,GNIESC,SUSPAUSTI,SPIEST,KIKIDEL,MIRIKANAWA,0,NICHAUNU,MICNU,CAP,NICOREN,NECORNA,NICORNA,PILNE,NICOWEWU,KSEKSEL,FESHAR DADAN,FUSURDAN,DABAGH,STRYTH,K AMEL,ZUPO,,KEMEL,KEMET,PUGA,PIGAIN,MOPUAE,,MERES,MESENG,MIJET,MERES,PERAH,MEMERAS
APUNHALAR,POIGNARDER,PUGNALARE,DAR DE PUNALADAS,PEGAR,POUGNARDA,STILETTER,PUNNALAI,A INJUNGHIA CU PUMNALUL,ERSTECHEN,STEKEN,STEEK,STAB,STINGA,STIKKE,GENOMBORRA,STINGA,STIKKE,GOUSTILHA,BRATHU,SATHADH,NAMUSI,DREGNE,UBOSTI,ZAKALYVAT,PRABIC,RANYTY,BODNOUTI,BODAT,KLUC,DURTI,IEDURT,PUSAVEL,ANINAWA,TASANUN,GHOCHNU CHHURI DASNU,GOPNU,CHORA,CIPKAWEN,CURA,CHURA,BHOSEKNE,0,HALALAVEL,0,OB DODAN,0,CPON,XREL,LAVONO,,SANDAK,DUSMAG,HARUG,MANAKSAK,LUBAE,,NUJES,NEBEK,BEGALAH,NUBLES,TUSOK,MENIKAM
ESTAR EM PE,DEBOUT,STARE IN PIEDI,ESTAR EN PIE,ESTAR DRET,ARRESTA,STER,ATTURAI,A STA,STEHEN,STAAN,STAAN,STAND,STANDA,STA,STA,STANDA,STAA,BEZAN EN E SAV,SEFYLL,SEASAMH,STOI,STAJ,STAJATI,STOJAT,STAMC,STOJATY,STATI,STAT,STAC,STOVETI,STAVET,TORDIOL,HITAGANAWA,THODU WOTHUN,UBHINU,UBHINU,KHARA,KHEROWEN,KHELONA,KHERA,UBHA,UBHA,DAREDEL,ISTADAN,ISTODAN,OSHTAGH,RI NE KEMBE,KANGNEL,STEKOME,,IRIGI,QINDEG,TUMINDUG,TUMAYO,MOTINDOG,,NADEK,MAJUJUK,NANJEN,NANGTUNG,DIRI,BERDIRI
ESTRELLA,ETOILE,STELLA,ESTRELLA,ESTELA,ESTELLO,ASTER,STELLA,STEA,STERN,STER,STER,STAR,STJARNA,STJERNE,STJARNA,STJORNA,STJERNE,STEREDENN,SEREN,REALT,ZVEZDA,ZVEZDO,ZVEZDA,ZVEZDA,ZORKA,ZIRKA,HVEZDA,HVIEZDA,GWIAZDA,ZVAIGZDE,ZVAIGZNE,CERAIN,TARUVA,TARUKH,TARA,TARO,TARA,TARA,TARA,TARA,TARA,TARO,STORAJ,SETARE,SITORA,ISTAR,YL,ASTL,ASTRO,,BITOQON,BITUQUN,PAMGASAN,BITUIN,BITOON,,LINTAN,BINTANG,BINTAN,BENTANG,BINTAN,BINTANG
PAO,BATON,BASTONE,PALO,PERN,BASTOUN,BASTUN,BASTONI,BAT,STOCK,STOK,STOK,STICK,STINGA,STOKK,KVIST,STAVUR,STOK,BAZH,GWIALEN,MAIDE,PRECKA,PALCA,STAP,PALKA,KIJ,KYJOK,TYCKA,PRUT,KIJ,PAGALYS,NUJA,KAS,DARA,LURU,LAURO,JHATARO,LATHI,CHERI,SOTTI,DENDA,DANDU,LAKRI,LARGAJ,CHUB,TAEK,LATH,SKOP,MAHAK,KSILO,,KAYU,KAPUY,KAYU,PATPAT,KAHOY,,KAYU,KAYU,KAYUQ,KAI,KAYU,KAYU
PEDRA,PIERRE,PIETRA,PIEDRA,PEDRA,PEIRO,CRAP,PERDA,PIATRA,STEIN,STEEN,STEEN,STONE,STEINN,STEN,STEN,STEINUR,STEN,MAEN,CARREG,CLOCH,KAMEK,KAMEN,KAMEN,KAMEN,KAMEN,KAMIN,KAMEN,KAMEN,KAMIEN,AKMUO,AKMENS,BAR,GALA,WATH,DHUNGA,DHUNGO,PATHOR,PETTHER,PETTHER,PETTHER,PETTHER,PETTNER,DABARA,SANG,SANG,KHOH,GUR,KAR,PETRA,,WATO,BATU,BATU,BATO,BATO,,WATU,BATU,BATU,BATU,BATU,BATU
DIREITO,DROIT,DIRITTO,DERECHO,RECTE,DRE,DRET,DERETTU,DREPT,GERADE,RECHT,REG,STRAIGHT,BEINN,RETT,RAK,RAETTUR,LIGE,EEUN,SYTH,DIREACH,PRAVO,NREOVNAJT,USPRAVAN,PRJAMOJ,PROSTY,PRJAMYJ,PRIMY,ROVNY,PROSTY,TIESUS,TAISNI,ISYO,KELIN,SYODU,SOJHO,SOJO,SOJA,SIDDHA,SIDDA,SIDHA,SEREL,SIDHU,SAM,RAST,ROST,SIDHA,DREJTE,ULIL,ISYOS,,0,0,0,0,TARONG,,0,0,0,0,0,0
CHUPAR,SUCER,SUCCHIARE,CHUPAR,XUCLAR,SUCA,TETTER,SUCCAI,A SUGE,SAUGEN,ZUIGEN,SUIG,SUCK,SJUGA,SU,SUGA PA,SUGVA,SUGE,SUNAN,SUGNO,DIUL,SMUCI,SOSAT,SISATI,SOSAT,SSAC,SMOKTATY,SSATI,SAT,SSAC,CIULPTI,ZIST,CHUCHIPEL,URANAWA,TSAHUN,CHUSNU,CUSNU,CHOSA,CHUSEN,CUSNA,CUSNA,COKHNE,CUSWU,RUDEL,MEKIDAN,MAKIDAN,MISHAGH,THETHIN,CCEL,VIZENO,,SOSOP,SEPSEP,SUMUPSUP,SUMIPSIP,MOSUPSUP,,NEROT,NGISEP,NEMOT,NYEUSEUP,TUSU,MENGISAP
SOL,SOLEIL,SOLE,SOL,SOL,SOULEU,SOLAGL,SOLI,SOARE,SONNE,ZON,SON,SUN,SOL,SOL,SOL,SOL,SOL,HEOL,HAUL,GRIAN,SLENCE,SUNCE,SUNCE,SOLNCE,SONCA,SONCE,SLUNCE,SLNKO,SLONCE,SAULE,SAULE,KHAM,IRA,SURE,GHAM,SURJE,SUJJO,SUREJ,SUREJ,SUREJ,SURYYE,SURDJ,LMAR,AFTAB,OFTOB,RO,DIEL,AREW,ILYOS,,0,0,0,ARAW,ADLAW,,0,0,0,PANONPOE,0,MATAHARI
